lemma,pos,level,english,example_de,example_en,gender,plural,separable,aux,praesens_ich,praesens_er,praeteritum,partizip_ii,perfekt,comparative,superlative,sources_csv,source_notes
Richter,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Richter
Richterin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Richterin
Richtung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Richtung
riesig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/riesig
Risiko,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Risiko
roh,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/roh
Rohr,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Rohr
Rolle,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Rolle#2
Roman,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Roman
Rufnummer,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Rufnummer
Runde,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Runde
Rundfahrt,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Rundfahrt
runterwerfen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/runterwerfen
Rückfahrt,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/R%C3%BCckfahrt
Rückkehr,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/R%C3%BCckkehr
rückwärts,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/r%C3%BCckw%C3%A4rts
Saal,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Saal
Sack,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sack
Sahne,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sahne
Saison,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Saison
Salbe,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Salbe
Salon,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Salon
salzig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/salzig
Sand,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sand
satt,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/satt
Sauce,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sauce
Schachtel,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schachtel
Schade,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schade
Schaden,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schaden
schaden,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schaden
schalten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schalten#1
Schatten,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schatten
schauen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schauen
Schaufenster,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schaufenster
Schauspieler,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schauspieler
Schauspielerin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schauspielerin
Scheibe,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Scheibe
scheiden,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/scheiden
Scheidung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Scheidung
Schein,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schein#2
Schi,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schi
schick,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schick
schieben,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schieben
schief,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schief
schießen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schie%C3%9Fen
Schlaf,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schlaf
Schlagobers,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schlagobers
Schlagrahm,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schlagrahm
Schlagsahne,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schlagsahne
Schlange,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schlange
schlank,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schlank
schließlich,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schlie%C3%9Flich
schmal,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schmal
Schmerzmittel,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schmerzmittel
schminken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schminken
Schmuck,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schmuck
Schmutz,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schmutz
Schnupfen,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schnupfen
Schreck,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schreck
Schrecken,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schrecken
Schreiben,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schreiben
schreien,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schreien
Schrift,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schrift
Schriftsteller,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schriftsteller
Schriftstellerin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schriftstellerin
Schritt,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schritt
Schularbeit,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schularbeit
Schuld,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schuld
schuld,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schuld
schuldig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schuldig
Schulter,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schulter
Schutz,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schutz
Schwammerl,N,B1,,,,"der, das",,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schwammerl
Schwangerschaft,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schwangerschaft
schweigen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schweigen
Schwierigkeit,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Schwierigkeit
schwitzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/schwitzen
schätzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sch%C3%A4tzen
Schüssel,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sch%C3%BCssel
schütteln,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sch%C3%BCtteln
schützen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sch%C3%BCtzen
Sekretär,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sekret%C3%A4r#1
Sekretärin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sekret%C3%A4rin
selbstverständlich,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/selbstverst%C3%A4ndlich
selten,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/selten
seltsam,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/seltsam
Semester,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Semester
Seminar,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Seminar
Semmel,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Semmel
senden,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/senden
Sender,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sender
Senior,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Senior
Seniorin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Seniorin
senkrecht,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/senkrecht
Serie,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Serie
Serviceangestellte,N,B1,,,,"die, der",,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Serviceangestellte
Sessel,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sessel
sicher,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sicher
Sicherheit,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sicherheit
sichern,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sichern
sichtbar,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sichtbar
Sieg,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sieg
siegen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/siegen
Sieger,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sieger
Siegerin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Siegerin
siezen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/siezen
sinken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sinken
Sinn,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sinn
sinnlos,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sinnlos
sinnvoll,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sinnvoll
Sitz,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sitz
Ski,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Ski
so dass,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/so%20dass
so genannt,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/so%20genannt
so viel,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/so%20viel#1
sobald,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sobald
Socke,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Socke
sodass,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sodass
sogenannt,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sogenannt
solange,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/solange
Sonderangebot,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sonderangebot
sondern,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sondern#2
Sorge,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sorge
sorgen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sorgen
Souvenir,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Souvenir
soviel,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/soviel#1
sowieso,Part,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sowieso
sowohl,Konj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sowohl
sozial,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sozial
Sozialarbeiter,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sozialarbeiter
Sozialarbeiterin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sozialarbeiterin
Soße,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/So%C3%9Fe
sparsam,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sparsam
spazieren gehen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/spazieren%20gehen
Speise,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Speise#1
Speisewagen,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Speisewagen
Spezialist,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spezialist
Spezialistin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spezialistin
speziell,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/speziell
Spiegel,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spiegel
Spieler,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spieler
Spielerin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spielerin
Spielplatz,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spielplatz
Spielzeug,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spielzeug
spitz,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/spitz
Sportart,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sportart
Sportler,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sportler
Sportlerin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sportlerin
springen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/springen
Spritze,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spritze
Spur,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Spur
spätestens,Adv,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sp%C3%A4testens
spülen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sp%C3%BClen
spüren,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/sp%C3%BCren
Stadion,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stadion
stammen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stammen
Standpunkt,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Standpunkt
Start,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Start
starten,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/starten
Station,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Station
Statistik,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Statistik
statistisch,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/statistisch
statt,Präp,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/statt#2
Stau,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stau
Staub,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Staub
Staub saugen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Staub%20saugen
staubsaugen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/staubsaugen
stechen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stechen
Steckdose,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Steckdose
stecken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stecken#1; https://www.dwds.de/wb/stecken#2
Stecker,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stecker
stehen bleiben,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stehen%20bleiben
stehenbleiben,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stehenbleiben
stehlen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stehlen
steigen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/steigen
steil,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/steil
Stein,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stein
Stempel,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stempel
Stern,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stern
Steuer,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Steuer#2
Steward,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Steward
Stewardess,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stewardess
Stiege,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stiege#1
Stiegenhaus,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stiegenhaus
Stil,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stil
stilistisch,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stilistisch
still,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/still
Stimme,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stimme
stimmen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stimmen
Stimmung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stimmung
stinken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stinken
Stoff,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stoff
stolz,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stolz
stoppen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stoppen
strafbar,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/strafbar
Strafe,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Strafe
Strafzettel,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Strafzettel
Strecke,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Strecke
Streichholz,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Streichholz
Streik,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Streik
streiken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/streiken
Streit,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Streit
Strom,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Strom
Strumpf,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Strumpf
Studie,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Studie
Studierende,N,B1,,,,"die, der",,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Studierende
Studio,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Studio
Stufe,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Stufe
stumm,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/stumm
Sturm,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sturm
städtisch,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/st%C3%A4dtisch
ständig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/st%C3%A4ndig
Störung,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/St%C3%B6rung
stürzen,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/st%C3%BCrzen
Sucht,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Sucht
Suchtmittel,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Suchtmittel
Summe,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Summe
Symbol,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Symbol
System,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/System
Szene,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Szene
Sänger,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/S%C3%A4nger
Sängerin,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/S%C3%A4ngerin
süchtig,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/s%C3%BCchtig
Tabelle,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tabelle
Tagesablauf,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tagesablauf
Tal,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tal
Talent,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Talent
tanken,V,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/tanken
Tankstelle,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tankstelle
Tante,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tante
Tanz,N,B1,,,,der,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tanz
Taschentuch,N,B1,,,,das,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Taschentuch
Tastatur,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tastatur
Taste,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Taste
Tat,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tat
Tatsache,N,B1,,,,die,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/Tatsache
tatsächlich,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/tats%C3%A4chlich
taub,Adj,B1,,,,,,,,,,,,,,,dwds-goethe-B1.csv,https://www.dwds.de/wb/taub
